GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Veteran,Margin of Error; Total: - Veteran,Estimate; Total: - Nonveteran,Margin of Error; Total: - Nonveteran,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Veteran,Margin of Error; Total: - Male: - Veteran,Estimate; Total: - Male: - Nonveteran,Margin of Error; Total: - Male: - Nonveteran,Estimate; Total: - Male: - 18 to 34 years:,Margin of Error; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Margin of Error; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Male: - 18 to 34 years: - Nonveteran,Estimate; Total: - Male: - 35 to 54 years:,Margin of Error; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Margin of Error; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Male: - 35 to 54 years: - Nonveteran,Estimate; Total: - Male: - 55 to 64 years:,Margin of Error; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Margin of Error; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Male: - 55 to 64 years: - Nonveteran,Estimate; Total: - Male: - 65 to 74 years:,Margin of Error; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Margin of Error; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Male: - 65 to 74 years: - Nonveteran,Estimate; Total: - Male: - 75 years and over:,Margin of Error; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Margin of Error; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Male: - 75 years and over: - Nonveteran,Margin of Error; Total: - Male: - 75 years and over: - Nonveteran,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Veteran,Margin of Error; Total: - Female: - Veteran,Estimate; Total: - Female: - Nonveteran,Margin of Error; Total: - Female: - Nonveteran,Estimate; Total: - Female: - 18 to 34 years:,Margin of Error; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Margin of Error; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Female: - 18 to 34 years: - Nonveteran,Estimate; Total: - Female: - 35 to 54 years:,Margin of Error; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Margin of Error; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Female: - 35 to 54 years: - Nonveteran,Estimate; Total: - Female: - 55 to 64 years:,Margin of Error; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Margin of Error; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Female: - 55 to 64 years: - Nonveteran,Estimate; Total: - Female: - 65 to 74 years:,Margin of Error; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Margin of Error; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Female: - 65 to 74 years: - Nonveteran,Estimate; Total: - Female: - 75 years and over:,Margin of Error; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran,Margin of Error; Total: - Female: - 75 years and over: - Veteran,Estimate; Total: - Female: - 75 years and over: - Nonveteran,Margin of Error; Total: - Female: - 75 years and over: - Nonveteran
0500000US01003,01003,"Baldwin County, Alabama",147979,623,19056,2050,128923,2087,71516,586,18045,2092,53471,2208,18700,602,1267,855,17433,1125,24747,277,4304,1301,20443,1319,12120,463,2953,737,9167,840,9927,437,5495,767,4432,843,6022,258,4026,650,1996,562,76463,885,1011,479,75452,970,18684,762,208,278,18476,806,25979,978,295,261,25684,927,13914,354,255,247,13659,424,10383,228,110,187,10273,301,7503,215,143,162,7360,264
0500000US01015,01015,"Calhoun County, Alabama",90832,276,12688,1561,78144,1629,42396,617,11893,1317,30503,1432,12959,518,1196,525,11763,697,14676,625,3271,841,11405,965,7410,186,2822,584,4588,541,4552,195,2502,430,2050,449,2799,189,2102,282,697,255,48436,598,795,466,47641,785,14155,404,151,175,14004,423,15632,479,367,401,15265,610,8464,377,174,193,8290,437,5399,53,28,46,5371,70,4786,184,75,124,4711,124
0500000US01043,01043,"Cullman County, Alabama",62477,209,7465,1109,55012,1128,30713,396,7042,1039,23671,1140,8354,547,464,396,7890,730,10964,414,1479,658,9485,769,5236,246,1418,374,3818,390,3906,249,2134,462,1772,513,2253,101,1547,337,706,327,31764,349,423,232,31341,369,7797,273,0,184,7797,273,10763,261,296,210,10467,316,5545,223,82,126,5463,261,4231,48,32,54,4199,72,3428,144,13,22,3415,139
0500000US01049,01049,"DeKalb County, Alabama",53047,5,4129,904,48918,904,25868,4,3880,886,21988,886,6554,710,342,376,6212,622,10391,710,487,329,9904,821,4288,3,1338,469,2950,469,2924,*****,845,343,2079,343,1711,*****,868,334,843,334,27179,3,249,225,26930,225,7277,2,44,89,7233,89,9477,4,14,24,9463,23,4537,3,113,146,4424,146,3235,*****,13,28,3222,28,2653,*****,65,106,2588,106
0500000US01051,01051,"Elmore County, Alabama",61923,173,7672,1087,54251,1081,29611,233,7071,980,22540,998,9084,456,639,393,8445,607,11151,366,2153,621,8998,654,4708,155,1482,417,3226,441,3070,128,1801,345,1269,359,1598,128,996,242,602,264,32312,234,601,390,31711,467,9501,252,224,270,9277,357,12059,194,181,243,11878,325,5053,179,149,116,4904,225,3571,115,47,83,3524,144,2128,123,0,184,2128,123
0500000US01055,01055,"Etowah County, Alabama",80974,2,7641,1159,73333,1159,37937,241,7074,1123,30863,1161,10618,171,264,200,10354,234,13350,290,1460,625,11890,719,6806,95,1780,430,5026,436,4433,166,1924,460,2509,466,2730,136,1646,510,1084,487,43037,241,567,394,42470,464,11010,570,211,279,10799,639,14150,561,117,159,14033,631,7448,141,100,123,7348,186,6036,487,67,110,5969,520,4393,254,72,119,4321,287
0500000US01069,01069,"Houston County, Alabama",78064,287,9961,869,68103,999,36376,342,9160,760,27216,789,10387,140,772,335,9615,366,12989,275,2531,441,10458,515,6099,68,1918,262,4181,272,4136,99,1969,240,2167,236,2765,200,1970,303,795,197,41688,211,801,380,40887,444,11246,77,171,114,11075,136,14403,103,480,346,13923,374,6982,114,82,44,6900,123,4889,90,36,34,4853,98,4168,57,32,32,4136,69
0500000US01073,01073,"Jefferson County, Alabama",504584,327,45350,3146,459234,3227,232883,383,41818,2902,191065,2969,75082,416,3821,1145,71261,1294,82223,372,10177,1580,72046,1626,39529,211,9350,1438,30179,1437,21106,179,8763,1064,12343,1046,14943,248,9707,810,5236,810,271701,251,3532,887,268169,891,81295,186,765,507,80530,548,91080,226,1608,573,89472,626,46023,285,505,290,45518,425,26392,264,278,209,26114,334,26911,189,376,277,26535,338
0500000US01077,01077,"Lauderdale County, Alabama",72542,525,6778,1032,65764,1004,34048,334,6513,967,27535,949,9664,570,492,434,9172,738,11336,640,1521,642,9815,818,6218,340,1113,364,5105,503,4156,101,1701,408,2455,408,2674,101,1686,317,988,320,38494,310,265,219,38229,334,10298,359,83,115,10215,334,12267,341,83,93,12184,328,6727,318,0,184,6727,318,4982,121,99,166,4883,200,4220,121,0,184,4220,121
