GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD04,HD01_VD06,HD01_VD08,HD01_VD10,HD01_VD11,HD01_VD13,HD01_VD14,HD01_VD16,HD01_VD17,HD01_VD19,HD01_VD20,HD01_VD22,HD01_VD23,HD01_VD25,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD32,HD01_VD33,HD01_VD35,HD01_VD36,HD01_VD38,HD01_VD39,HD01_VD41,HD01_VD42
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Veteran,Estimate; Total: - Male:,Estimate; Total: - Male: - Veteran,Estimate; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Female:,Estimate; Total: - Female: - Veteran,Estimate; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran
0500000US01003,01003,"Baldwin County, Alabama",162534,18214,77620,16707,19340,209,25869,3323,13656,2979,11310,4987,7445,5209,84914,1507,20944,329,26130,386,15974,242,12792,313,9074,237
0500000US01015,01015,"Calhoun County, Alabama",89315,8861,42170,8305,12900,972,13917,1702,7351,1865,5063,2001,2939,1765,47145,556,12820,72,15156,74,8209,148,6166,61,4794,201
0500000US01043,01043,"Cullman County, Alabama",64396,5531,31553,4988,8559,303,10954,1062,5374,977,4259,1376,2407,1270,32843,543,8794,0,10173,122,5458,271,4866,44,3552,106
0500000US01049,01049,"DeKalb County, Alabama",53745,3456,26069,3184,7205,222,9619,550,4292,356,3226,1244,1727,812,27676,272,6884,0,9262,20,4619,180,4234,51,2677,21
0500000US01051,01051,"Elmore County, Alabama",62845,6531,29806,5446,9032,557,10384,1418,5036,1064,3589,1148,1765,1259,33039,1085,9466,645,11545,342,5392,63,3827,35,2809,0
0500000US01055,01055,"Etowah County, Alabama",79861,8849,38061,8277,10086,930,12990,2215,6989,892,5077,2445,2919,1795,41800,572,10121,165,13758,152,7232,39,6080,167,4609,49
0500000US01069,01069,"Houston County, Alabama",79424,7936,37028,7157,10467,627,12610,1623,6514,1004,4633,2221,2804,1682,42396,779,11172,331,13841,171,7317,145,5577,92,4489,40
0500000US01073,01073,"Jefferson County, Alabama",507350,37309,233708,33814,74458,1850,78904,8576,39855,6542,25528,8536,14963,8310,273642,3495,79124,364,87731,1430,47397,962,31751,615,27639,124
0500000US01077,01077,"Lauderdale County, Alabama",73204,6395,34442,5898,10330,475,10541,748,5996,1139,4494,1958,3081,1578,38762,497,10258,407,11788,0,7136,37,5290,0,4290,53
0500000US01081,01081,"Lee County, Alabama",124207,9170,60249,8816,26442,450,18110,2789,7866,2060,5218,1783,2613,1734,63958,354,26465,0,19300,205,8448,107,5820,42,3925,0
0500000US01083,01083,"Limestone County, Alabama",71251,8003,35317,7169,10143,573,13414,2231,5739,1498,4047,1702,1974,1165,35934,834,9950,0,12689,278,5873,112,4449,160,2973,284
0500000US01089,01089,"Madison County, Alabama",276888,31870,133082,27106,41573,2445,45490,6318,23357,6890,13694,6238,8968,5215,143806,4764,40848,646,49643,2257,24481,1374,15903,464,12931,23
0500000US01095,01095,"Marshall County, Alabama",71581,6402,34421,5984,10531,313,11438,1849,5621,1383,4184,1247,2647,1192,37160,418,9253,144,12159,65,6589,31,5277,163,3882,15
0500000US01097,01097,"Mobile County, Alabama",315741,27795,147767,24781,46032,1610,48421,4477,25955,5121,17730,7766,9629,5807,167974,3014,49465,586,53327,1398,28918,612,20549,272,15715,146
0500000US01101,01101,"Montgomery County, Alabama",172270,15035,79034,13297,26582,828,26290,3594,12916,3301,8218,2991,5028,2583,93236,1738,28758,136,30091,1115,15784,229,10250,130,8353,128
0500000US01103,01103,"Morgan County, Alabama",91613,6428,44473,6143,12204,298,16053,1210,7450,983,5426,2143,3340,1509,47140,285,11186,0,16361,166,8190,75,6494,44,4909,0
0500000US01115,01115,"St. Clair County, Alabama",67732,6403,33276,5826,9173,676,12086,1048,5535,1043,3968,1401,2514,1658,34456,577,8764,221,11916,88,5837,0,4491,0,3448,268
0500000US01117,01117,"Shelby County, Alabama",159964,13411,76543,11924,21362,1186,29159,2491,12872,1841,8316,3966,4834,2440,83421,1487,20851,367,31903,933,14145,93,10069,77,6453,17
0500000US01121,01121,"Talladega County, Alabama",62524,5680,29767,5532,7867,769,10391,1350,5354,1355,3632,1188,2523,870,32757,148,8398,12,10819,4,5898,73,4687,39,2955,20
0500000US01125,01125,"Tuscaloosa County, Alabama",162434,10762,77047,9369,32348,824,22925,3024,10980,1226,7044,2668,3750,1627,85387,1393,33169,92,24976,570,12645,445,8467,44,6130,242
0500000US01127,01127,"Walker County, Alabama",50468,3656,24123,3356,6412,238,8014,528,4370,403,3253,1272,2074,915,26345,300,6387,0,8285,63,4512,141,4191,0,2970,96
0500000US02020,02020,"Anchorage Municipality, Alaska",216413,26388,107541,22954,39137,4359,36747,6459,18062,4977,9635,4302,3960,2857,108872,3434,37553,1436,37684,1087,18145,788,9652,80,5838,43
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",70355,12284,37170,10273,15086,1557,11061,4211,6635,2410,3222,1825,1166,270,33185,2011,13030,607,10826,830,5111,542,2948,32,1270,0
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",75160,10318,38803,8993,12520,1047,13725,2700,7221,2270,3781,1826,1556,1150,36357,1325,11659,146,12721,891,6651,247,3601,19,1725,22
0500000US04001,04001,"Apache County, Arizona",52162,2862,25596,2480,8099,266,8465,403,4056,470,3011,685,1965,656,26566,382,7877,8,8479,188,4553,67,3487,119,2170,0
0500000US04003,04003,"Cochise County, Arizona",94496,17341,46932,15173,13429,1146,13266,3514,7623,2371,7391,4727,5223,3415,47564,2168,10566,389,14018,824,9042,463,8075,372,5863,120
